feature_name,organism,gene_symbol,is_current
B2RRE7,mus musculus,Otud4,1
B2RS91,mus musculus,Rrn3,1
B2RSC8,mus musculus,Nedd4,1
B2RSH2,mus musculus,Gnai1,1
B2RU80,mus musculus,Ptprb,1
B2RUG9,mus musculus,Apc,1
B2RUJ5,mus musculus,Apba1,1
B2RUJ7,mus musculus,Xdh,1
B2RUP2,mus musculus,Unc13d,1
B2RUR8,mus musculus,Otud7b,1
B2RUS7,mus musculus,Abcc8,1
B2RVI8,mus musculus,Sult2a6,1
B2RVY9,mus musculus,Tmem182,1
B2RW38,mus musculus,Cfap58,1
B2RWH8,mus musculus,Fmo13,1
B2RWR2,mus musculus,Lpcat2,1
B2RWS6,mus musculus,Ep300,1
B2RX12,mus musculus,Abcc3,1
B2RX14,mus musculus,Tut4,1
B2RX82,mus musculus,Chrna10,1
B2RX88,mus musculus,Cspp1,1
B2RXA7,mus musculus,Cyp26c1,1
B2RXC2,mus musculus,Itpkb,1
B2RXE2,mus musculus,Slc9a5,1
B2RXS4,mus musculus,Plxnb2,1
B2RXV4,mus musculus,Flvcr1,1
B2RXZ1,mus musculus,Pnldc1,1
B2RY04,mus musculus,Dock5,1
B2RY50,mus musculus,Odad2,1
B2RY71,mus musculus,Dnai3,1
B3VQI8,mus musculus,Cyba,1
B5KM66,mus musculus,Syce3,1
B5THE3,mus musculus,Sis,1
B5TVM2,mus musculus,Ildr2,1
B5X0E4,mus musculus,Abcb5,1
B6A8R8,mus musculus,Tarm1,1
B7FAU9,mus musculus,Flna,1
B7XGA6,mus musculus,Alpl,1
B7ZMZ2,mus musculus,Abl2,1
B7ZN55,mus musculus,Asah2,1
B7ZNG0,mus musculus,Kif7,1
B7ZP16,mus musculus,Agxt2,1
B7ZWE5,mus musculus,Bcl10,1
B8JK39,mus musculus,Itga9,1
B8ZXI1,mus musculus,Qtrt2,1
B9EHG7,mus musculus,Asah2,1
B9EHT4,mus musculus,Clip3,1
B9EIE9,mus musculus,Adss2,1
B9EJ57,mus musculus,Mterf1b,1
B9EJ80,mus musculus,Pdzd8,1
B9EJ86,mus musculus,Osbpl8,1
B9EJA2,mus musculus,Cttnbp2,1
B9EJV3,mus musculus,Greb1l,1
B9EKC2,mus musculus,Abcc4,1
B9EKI3,mus musculus,Tmf1,1
B9EKR1,mus musculus,Ptprz1,1
C0HKE1,mus musculus,H2ac4,1
C0HKE2,mus musculus,H2ac6,1
C0HKE3,mus musculus,H2ac7,1
C0HKE4,mus musculus,H2ac8,1
C0HKE5,mus musculus,H2ac11,1
C0HKE6,mus musculus,H2ac13,1
C0HKE7,mus musculus,Hist1h2an,1
C0HKE8,mus musculus,Hist1h2ao,1
C0HKE9,mus musculus,Hist1h2ap,1
C0LLJ0,mus musculus,Kpna7,1
C3VD30,mus musculus,Zar1l,1
C3VPR6,mus musculus,Nlrc5,1
C4P6S0,mus musculus,Nsun4,1
C5NTX9,mus musculus,Neu4,1
C6KI89,mus musculus,Catsperg2,1
C7ECU2,mus musculus,Ace2,1
D0G895,mus musculus,Ace3,1
D0QMC3,mus musculus,Mndal,1
D0VYS2,mus musculus,Hsf3,1
D2CGM4,mus musculus,Ifih1,1
D2EAC2,mus musculus,Zbed6,1
D2J0Y4,mus musculus,D7Ertd443e,1
D3KU66,mus musculus,Asmt,1
D3YTS9,mus musculus,Acp4,1
D3YUB6,mus musculus,Btbd8,1
D3YUJ3,mus musculus,Ccnyl1,1
D3YVF0,mus musculus,Akap5,1
D3YVL2,mus musculus,Cfap70,1
D3YWP0,mus musculus,Eef1akmt3,1
D3YWQ0,mus musculus,Dgki,1
D3YX12,mus musculus,Cept1,1
D3YXG0,mus musculus,Hmcn1,1
D3YXJ0,mus musculus,Dgkh,1
D3YXK1,mus musculus,Samd1,1
D3YXK2,mus musculus,Safb,1
D3YYI7,mus musculus,Rnf217,1
D3YYM4,mus musculus,Wdr72,1
D3YZ49,mus musculus,Agxt2,1
D3YZ62,mus musculus,Myo5a,1
D3YZU1,mus musculus,Shank1,1
D3YZZ2,mus musculus,Tgfbr3l,1
D3Z120,mus musculus,Foxi3,1
D3Z1Q2,mus musculus,Mrap2,1
D3Z291,mus musculus,Calhm1,1
D3Z2R5,mus musculus,Selenon,1
D3Z2X2,mus musculus,Dnhd1,1
D3Z3G6,mus musculus,Mapk3,1
D3Z3K2,mus musculus,Ccnb1ip1,1
D3Z423,mus musculus,Rnf212b,1
D3Z4I3,mus musculus,Rbm24,1
D3Z4R1,mus musculus,Hfm1,1
D3Z4R4,mus musculus,Nkx6-2,1
D3Z5L6,mus musculus,Slc18b1,1
D3Z5M8,mus musculus,Fgfr2,1
D3Z5N5,mus musculus,Pikfyve,1
D3Z5S8,mus musculus,Tent5a,1
D3Z649,mus musculus,Kcnt2,1
D3Z656,mus musculus,Synj1,1
D3Z6P0,mus musculus,Pdia2,1
D3Z752,mus musculus,Spx,1
D3Z7H4,mus musculus,Gsg1l,1
D3Z7P3,mus musculus,Gls,1
D6MZJ6,mus musculus,Smpd5,1
D6RFA9,mus musculus,Entpd1,1
D6RHQ2,mus musculus,Entpd1,1
D7PDD4,mus musculus,Mpig6b,1
E0CXC2,mus musculus,Gm28043,1
E0CYC6,mus musculus,Nat8b-ps,1
E0CZ16,mus musculus,Klhl3,1
E0CZ42,mus musculus,Fer1l6,1
E1AZ71,mus musculus,Cngb1,1
E1U8D0,mus musculus,Mtcl2,1
E2JF22,mus musculus,Piezo1,1
E7FJU2,mus musculus,Esr1,1
E9PUL5,mus musculus,Prrt2,1
E9PUN2,mus musculus,Nrxn2,1
E9PUN6,mus musculus,Adamts9,1
E9PUQ8,mus musculus,Dgkd,1
E9PV04,mus musculus,Eif4a3l1,1
E9PV24,mus musculus,Fga,1
E9PV87,mus musculus,Talpid3,1
E9PVA8,mus musculus,Gcn1,1
E9PVD1,mus musculus,Ccdc62,1
E9PVD3,mus musculus,Dchs1,1
E9PVU6,mus musculus,Fgfr2,1
E9PVX6,mus musculus,Mki67,1
E9PX29,mus musculus,Sptbn4,1
E9PX67,mus musculus,Fgfr2,1
E9PX95,mus musculus,Abca17,1
E9PXB0,mus musculus,Pnpla8,1
E9PXF8,mus musculus,Sbf2,1
E9PXV8,mus musculus,Fgfr2,1
E9PXX5,mus musculus,Mapk4,1
E9PXX9,mus musculus,Slc28a1,1
E9PY46,mus musculus,Ift140,1
E9PY61,mus musculus,Gpr179,1
E9PYG6,mus musculus,Rasa1,1
E9PYH6,mus musculus,Setd1a,1
