feature_name,organism,gene_symbol,is_current
O43707,homo sapiens,ACTN4,1
P68133,homo sapiens,ACTS,1
Q8TDG2,homo sapiens,ACTT1,1
Q8TDY3,homo sapiens,ACTT2,1
Q9BYD9,homo sapiens,ACTT3,1
P42025,homo sapiens,ACTY,1
P61163,homo sapiens,ACTZ,1
P36896,homo sapiens,ACV1B,1
Q8NER5,homo sapiens,ACV1C,1
P37023,homo sapiens,ACVL1,1
Q04771,homo sapiens,ACVR1,1
Q03154,homo sapiens,ACY1,1
P45381,homo sapiens,ACY2,1
Q96HD9,homo sapiens,ACY3,1
P07311,homo sapiens,ACYP1,1
P14621,homo sapiens,ACYP2,1
O14672,homo sapiens,ADA10,1
O75078,homo sapiens,ADA11,1
O43184,homo sapiens,ADA12,1
Q13444,homo sapiens,ADA15,1
P78536,homo sapiens,ADA17,1
Q9Y3Q7,homo sapiens,ADA18,1
Q9H013,homo sapiens,ADA19,1
P35348,homo sapiens,ADA1A,1
P35368,homo sapiens,ADA1B,1
P25100,homo sapiens,ADA1D,1
O43506,homo sapiens,ADA20,1
Q9UKJ8,homo sapiens,ADA21,1
Q9P0K1,homo sapiens,ADA22,1
O75077,homo sapiens,ADA23,1
Q9UKQ2,homo sapiens,ADA28,1
Q9UKF5,homo sapiens,ADA29,1
P08913,homo sapiens,ADA2A,1
P18089,homo sapiens,ADA2B,1
P18825,homo sapiens,ADA2C,1
Q9NZK5,homo sapiens,ADA2,1
Q9UKF2,homo sapiens,ADA30,1
Q8TC27,homo sapiens,ADA32,1
Q9BZ11,homo sapiens,ADA33,1
Q96M93,homo sapiens,ADAD1,1
Q8NCV1,homo sapiens,ADAD2,1
Q6DHV7,homo sapiens,ADAL,1
Q99965,homo sapiens,ADAM2,1
Q6NVV9,homo sapiens,ADAM5,1
Q9H2U9,homo sapiens,ADAM7,1
P78325,homo sapiens,ADAM8,1
Q13443,homo sapiens,ADAM9,1
O75689,homo sapiens,ADAP1,1
Q9NPF8,homo sapiens,ADAP2,1
A8MUL3,homo sapiens,ADAS1,1
O00116,homo sapiens,ADAS,1
Q9BUB4,homo sapiens,ADAT1,1
Q7Z6V5,homo sapiens,ADAT2,1
Q96EY9,homo sapiens,ADAT3,1
P00813,homo sapiens,ADA,1
Q86TW2,homo sapiens,ADCK1,1
Q7Z695,homo sapiens,ADCK2,1
Q3MIX3,homo sapiens,ADCK5,1
Q6P093,homo sapiens,ADCL2,1
Q5VUY0,homo sapiens,ADCL3,1
Q5VUY2,homo sapiens,ADCL4,1
Q08828,homo sapiens,ADCY1,1
Q08462,homo sapiens,ADCY2,1
O60266,homo sapiens,ADCY3,1
Q8NFM4,homo sapiens,ADCY4,1
O95622,homo sapiens,ADCY5,1
O43306,homo sapiens,ADCY6,1
P51828,homo sapiens,ADCY7,1
P40145,homo sapiens,ADCY8,1
O60503,homo sapiens,ADCY9,1
Q96PN6,homo sapiens,ADCYA,1
P35611,homo sapiens,ADDA,1
P35612,homo sapiens,ADDB,1
Q9UEY8,homo sapiens,ADDG,1
O15204,homo sapiens,ADEC1,1
Q8N7X0,homo sapiens,ADGB,1
P07327,homo sapiens,ADH1A,1
P00325,homo sapiens,ADH1B,1
P00326,homo sapiens,ADH1G,1
P08319,homo sapiens,ADH4,1
P28332,homo sapiens,ADH6,1
P40394,homo sapiens,ADH7,1
P11766,homo sapiens,ADHX,1
Q0VDE8,homo sapiens,ADIG,1
Q5T7M4,homo sapiens,ADIPL,1
Q15848,homo sapiens,ADIPO,1
Q9Y2D8,homo sapiens,ADIP,1
Q15847,homo sapiens,ADIRF,1
P55263,homo sapiens,ADK,1
Q7Z4H4,homo sapiens,ADM2,1
C9JUS6,homo sapiens,ADM5,1
P35318,homo sapiens,ADML,1
Q6IQ32,homo sapiens,ADNP2,1
Q9H2P0,homo sapiens,ADNP,1
Q9BRR6,homo sapiens,ADPGK,1
Q9NRN7,homo sapiens,ADPPT,1
P54922,homo sapiens,ADPRH,1
Q3LIE5,homo sapiens,ADPRM,1
Q9NX46,homo sapiens,ADPRS,1
P08588,homo sapiens,ADRB1,1
P07550,homo sapiens,ADRB2,1
P13945,homo sapiens,ADRB3,1
Q16186,homo sapiens,ADRM1,1
P22570,homo sapiens,ADRO,1
Q9GZN8,homo sapiens,ADSSP,1
P12235,homo sapiens,ADT1,1
P05141,homo sapiens,ADT2,1
P12236,homo sapiens,ADT3,1
Q9H0C2,homo sapiens,ADT4,1
Q96IZ2,homo sapiens,ADTRP,1
P10109,homo sapiens,ADX,1
Q8IUX7,homo sapiens,AEBP1,1
Q6ZN18,homo sapiens,AEBP2,1
Q96SZ5,homo sapiens,AEDO,1
Q6UXC1,homo sapiens,AEGP,1
Q8WTP8,homo sapiens,AEN,1
P55197,homo sapiens,AF10,1
P55198,homo sapiens,AF17,1
Q8TED9,homo sapiens,AF1L1,1
Q8N4X5,homo sapiens,AF1L2,1
Q13015,homo sapiens,AF1Q,1
P42568,homo sapiens,AF9,1
P55196,homo sapiens,AFAD,1
P43652,homo sapiens,AFAM,1
Q8N556,homo sapiens,AFAP1,1
P51825,homo sapiens,AFF1,1
P51816,homo sapiens,AFF2,1
P51826,homo sapiens,AFF3,1
Q9UHB7,homo sapiens,AFF4,1
Q8WV93,homo sapiens,AFG1L,1
Q8NB90,homo sapiens,AFG2A,1
